"id","input_address","match","match_type","out_address","lat","lon","tiger_line_id","tiger_line_side","state_fips","county_fips","tract_fips","block_fips"
84,"1 MARKET STREET, CAMDEN, NJ, 8102","Match","Exact","1 MARKET ST, CAMDEN, NJ, 08102",39.9470289870001,-75.1280581459999,"134387066","L","34","007","610300","2019"
85,"1 MARKHAM WAY, STAFFORD, VA, 22556","Match","Exact","1 MARKHAM WAY, STAFFORD, VA, 22556",38.462372069,-77.470967418,"25564481","R","51","179","010205","2012"
86,"1 MARS COURT SUITE 1, BOONTON, NJ, 7005","Match","Exact","1 MARS CT, BOONTON, NJ, 07005",40.947000147,-74.3870204419999,"60445757","R","34","027","040801","3005"
87,"1 MARSHALL ST APT 7V, IRVINGTON, NJ, 7111","Match","Exact","1 MARSHALL ST, IRVINGTON, NJ, 07111",40.7292485850001,-74.222654899,"63488290","R","34","013","013000","1006"
88,"1 MARSHALL STREET APT9C, IRVINGTON, NJ, 7111","Match","Exact","1 MARSHALL ST, IRVINGTON, NJ, 07111",40.7292485850001,-74.222654899,"63488290","R","34","013","013000","1006"
89,"1 MARSHALL STREET SUITE 4R, IRVINGTON, NJ, 7111","Match","Exact","1 MARSHALL ST, IRVINGTON, NJ, 07111",40.7292485850001,-74.222654899,"63488290","R","34","013","013000","1006"
90,"1 MARVIN LANE, ALMOND, NY, 14804","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"1 MARY ANN LANE, BELLA VISTA, AR, 72714","Match","Exact","1 MARY ANN LN, BELLA VISTA, AR, 72714",36.459087755,-94.2055320169999,"47824079","L","05","007","020703","2032"
92,"1 MASSASOIT ROAD, WORCESTER, MA, 1604","Match","Exact","1 MASSASOIT RD, WORCESTER, MA, 01604",42.250721823,-71.780816796,"40014460","L","25","027","732301","1010"
93,"1 MCCOUNS LANE, OYSTER BAY, NY, 11771","Match","Exact","1 MCCOUNS LN, OYSTER BAY, NY, 11771",40.8699486530001,-73.5246046029999,"147622641","L","36","059","518000","2000"
94,"1 MCVICKERS LANE, MENDHAM, NJ, 7945","Match","Exact","1 MCVICKERS LN, MENDHAM, NJ, 07945",40.7566028370001,-74.6209741439999,"60466731","R","34","027","045804","3021"
95,"1 MEADOW GRASS COURT  STE D, COCKEYSVILLE, MD, 21030","Match","Exact","1 MEADOW GRASS CT, COCKEYSVILLE, MD, 21030",39.467308931,-76.6109817939999,"191471163","L","24","005","408506","3005"
96,"1 MEADOW LANE, GOLDEN VALLEY, MN, 55422","Match","Non_Exact","1 MEADOW LN N, GOLDEN VALLEY, MN, 55422",44.9772452730001,-93.331265882,"43623016","L","27","053","021800","1025"
97,"1 MEADOWBROOK CT, NOVATO, CA, 94947","Match","Exact","1 MEADOWBROOK CT, NOVATO, CA, 94947",38.1077065440001,-122.599875544,"192778365","L","06","041","103100","1009"
98,"1 MEDICAL CENTER DRIVE ROOM 2271, MORGANTOWN, WV, 26506","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"1 MEDICAL CENTER DRIVE, MORGANTOWN, WV, 26505","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"1 MEDICAL CENTER, HANOVER, NH, 3756","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"1 MEETING GROVE LANE, NORWALK, FL, 6850","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"1 MEETINGHOUSE GREEN, IPSWICH, MA, 1938","Match","Exact","1 MEETINGHOUSE GREEN, IPSWICH, MA, 01938",42.6822800910001,-70.836034124,"86654264","L","25","009","223200","1012"
103,"1 MEGHANS WAY, METHUEN, MA, 1844","Match","Exact","1 MEGHANS WAY, METHUEN, MA, 01844",42.7748465870001,-71.159451201,"650911398","R","25","009","252602","2007"
104,"1 MEMORIAL DRIVE, HUDSON, NH, 3051","Match","Exact","1 MEMORIAL DR, HUDSON, NH, 03051",42.763770546,-71.424001859,"113577396","R","33","011","012202","4007"
